EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
13.452,-0.292,5.530,2.218,-1.084,-0.472,3.587,-5.780,-0.134,0.983,0.010,11.353,-4.791,-1.953,60.000,62467.000,1.000
14.085,1.194,6.955,3.381,-0.395,0.953,4.173,-4.013,-0.135,0.985,0.007,11.292,-5.005,-1.740,60.000,62468.000,1.000
14.398,2.810,7.639,3.955,0.128,2.076,4.751,-2.518,-0.134,0.982,0.003,11.292,-5.249,-1.678,60.000,62469.000,1.000
14.518,4.146,7.511,3.779,0.645,2.560,5.395,-1.550,-0.135,0.984,0.003,11.322,-5.402,-1.678,60.000,62470.000,1.000
14.586,5.124,7.274,3.599,1.218,2.713,6.151,-0.601,-0.136,0.987,0.005,11.169,-5.554,-1.526,60.000,62471.000,1.000
14.770,5.822,7.720,4.138,1.870,2.943,6.941,0.755,-0.136,0.987,-0.001,11.108,-5.829,-1.373,60.000,62472.000,1.000
15.200,6.160,8.912,5.135,2.646,3.087,7.559,2.138,-0.136,0.987,-0.003,10.864,-6.042,-1.312,60.000,62473.000,1.000
15.864,5.965,10.260,5.714,3.557,2.548,7.786,2.799,-0.137,0.989,-0.002,10.712,-6.226,-1.129,60.000,62474.000,1.000
16.519,5.240,11.235,5.452,4.348,0.972,7.412,2.494,-0.137,0.993,-0.008,10.468,-6.439,-1.129,60.000,62475.000,1.000
16.772,4.204,11.736,4.690,4.481,-1.354,6.237,1.605,-0.137,0.993,-0.009,10.315,-6.622,-1.099,60.000,62476.000,1.000
16.374,3.094,11.813,3.906,3.618,-3.737,4.301,0.526,-0.136,0.994,-0.010,10.071,-6.866,-1.099,60.000,62477.000,1.000
15.377,1.937,11.241,3.030,2.022,-5.686,1.954,-0.830,-0.137,0.994,-0.011,9.888,-7.080,-1.099,60.000,62478.000,1.000
14.018,0.605,9.688,1.651,0.298,-7.200,-0.512,-2.815,-0.136,0.993,-0.011,9.521,-7.294,-0.977,60.000,62479.000,1.000
12.608,-0.757,7.450,-0.087,-1.056,-8.354,-3.073,-5.273,-0.135,0.993,-0.013,9.338,-7.507,-0.946,60.000,62480.000,1.000
11.333,-1.642,5.527,-1.337,-1.888,-8.912,-5.767,-7.397,-0.136,0.993,-0.015,9.033,-7.599,-0.946,60.000,62481.000,1.000
10.005,-1.798,4.560,-1.677,-2.393,-8.717,-8.468,-8.631,-0.137,0.994,-0.013,8.789,-7.751,-0.885,60.000,62482.000,1.000
8.192,-1.722,4.028,-1.903,-2.898,-8.230,-10.877,-9.289,-0.138,0.995,-0.015,8.606,-7.874,-0.977,60.000,62483.000,1.000
5.629,-2.344,2.803,-3.242,-3.663,-8.338,-12.729,-10.026,-0.138,0.996,-0.016,8.240,-7.843,-0.885,60.000,62484.000,1.000
2.434,-4.238,0.361,-5.940,-4.889,-9.592,-14.026,-10.979,-0.139,0.998,-0.020,7.996,-7.965,-0.916,60.000,62485.000,1.000
-0.960,-7.099,-2.690,-8.914,-6.629,-11.723,-14.906,-11.646,-0.139,1.000,-0.020,7.599,-8.148,-0.824,60.000,62486.000,1.000
-4.028,-10.011,-5.305,-10.873,-8.596,-13.999,-15.343,-11.575,-0.140,1.001,-0.019,7.233,-8.270,-0.977,60.000,62487.000,1.000
