EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
6.294,-4.513,-6.177,-8.366,-2.386,-4.826,-4.956,-4.923,-0.160,0.997,0.098,0.275,1.526,-1.312,60.000,20118.000,1.000
7.296,-4.611,-6.860,-8.782,-1.827,-4.381,-4.811,-5.003,-0.162,0.997,0.099,0.122,1.526,-1.282,60.000,20119.000,1.000
7.868,-4.186,-6.689,-8.098,-1.934,-3.387,-4.903,-4.389,-0.162,0.998,0.096,0.153,1.343,-1.373,60.000,20120.000,1.000
7.869,-3.551,-5.777,-6.622,-2.639,-2.477,-5.610,-3.642,-0.164,0.999,0.097,-0.031,1.099,-1.373,60.000,20121.000,1.000
7.654,-3.089,-4.777,-5.195,-3.217,-2.167,-6.509,-3.400,-0.164,0.996,0.099,-0.122,0.977,-1.404,60.000,20122.000,1.000
7.958,-2.699,-3.738,-3.729,-2.982,-2.254,-6.842,-3.273,-0.166,0.994,0.100,-0.244,0.916,-1.526,60.000,20123.000,1.000
9.432,-1.831,-1.842,-1.056,-1.847,-1.975,-6.169,-2.002,-0.164,0.994,0.103,-0.122,0.793,-1.373,60.000,20124.000,1.000
12.093,-0.246,1.373,3.337,-0.327,-0.983,-4.636,0.969,-0.164,0.992,0.100,-0.031,0.610,-1.434,60.000,20125.000,1.000
15.156,1.425,4.871,7.903,0.873,0.041,-2.815,4.381,-0.165,0.993,0.100,-0.122,0.488,-1.526,60.000,20126.000,1.000
17.443,2.133,6.721,10.051,1.259,0.020,-1.374,6.088,-0.164,0.993,0.102,-0.092,0.397,-1.434,60.000,20127.000,1.000
18.019,1.357,5.902,8.661,0.678,-1.389,-0.775,5.133,-0.163,0.993,0.103,-0.122,0.183,-1.465,60.000,20128.000,1.000
16.713,-0.434,3.283,5.185,-0.641,-3.442,-1.020,2.659,-0.163,0.993,0.102,-0.092,0.092,-1.617,60.000,20129.000,1.000
