EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-39.866,-19.091,-17.108,-20.167,-19.564,-19.580,-20.327,-23.301,-0.145,0.994,0.145,-0.580,-0.488,2.014,60.000,19013.000,1.000
-40.788,-19.795,-18.283,-21.188,-20.620,-18.913,-22.005,-24.891,-0.146,0.997,0.147,-0.580,-0.519,1.984,60.000,19014.000,1.000
-40.772,-20.368,-19.444,-22.047,-21.402,-17.973,-23.364,-25.976,-0.148,0.996,0.152,-0.580,-0.641,1.892,60.000,19015.000,1.000
-39.729,-19.956,-19.767,-21.515,-21.074,-15.613,-23.019,-25.076,-0.147,0.997,0.150,-0.854,-0.671,1.831,60.000,19016.000,1.000
-38.283,-18.652,-19.445,-19.843,-19.661,-12.022,-20.713,-22.228,-0.149,0.999,0.152,-0.946,-0.824,1.801,60.000,19017.000,1.000
-37.038,-17.050,-19.186,-18.173,-17.630,-8.333,-17.193,-18.638,-0.149,1.000,0.154,-0.946,-0.946,1.709,60.000,19018.000,1.000
-36.169,-15.547,-19.291,-17.115,-15.379,-5.440,-13.395,-15.337,-0.149,1.000,0.156,-1.007,-1.190,1.617,60.000,19019.000,1.000
-35.679,-14.283,-19.511,-16.358,-13.241,-3.574,-10.028,-12.631,-0.149,1.000,0.160,-1.099,-1.373,1.617,60.000,19020.000,1.000
-35.527,-13.318,-19.491,-15.419,-11.454,-2.553,-7.422,-10.557,-0.148,0.998,0.159,-1.190,-1.648,1.495,60.000,19021.000,1.000
-35.364,-12.445,-18.994,-14.255,-9.794,-1.844,-5.315,-9.234,-0.147,0.999,0.160,-1.190,-1.862,1.373,60.000,19022.000,1.000
-34.662,-11.215,-17.945,-13.185,-7.740,-0.899,-3.289,-8.776,-0.150,0.998,0.159,-1.221,-1.953,1.190,60.000,19023.000,1.000
-33.393,-9.546,-16.628,-12.486,-5.389,0.090,-1.790,-9.196,-0.149,1.000,0.156,-1.282,-2.106,1.129,60.000,19024.000,1.000
-32.185,-7.981,-15.601,-12.124,-3.692,0.277,-1.984,-10.283,-0.148,0.999,0.160,-1.434,-2.289,1.068,60.000,19025.000,1.000
-31.527,-7.046,-15.180,-11.824,-3.338,-0.687,-4.214,-11.473,-0.145,0.999,0.158,-1.434,-2.502,0.916,60.000,19026.000,1.000
-31.105,-6.575,-15.130,-11.387,-3.772,-2.003,-7.108,-12.004,-0.143,0.998,0.158,-1.343,-2.716,0.732,60.000,19027.000,1.000
-30.029,-5.737,-14.749,-10.686,-3.537,-2.207,-8.362,-11.124,-0.145,0.996,0.158,-1.282,-2.686,0.610,60.000,19028.000,1.000
-27.567,-3.583,-13.140,-9.267,-1.421,-0.034,-6.199,-8.100,-0.145,0.995,0.159,-1.221,-2.777,0.458,60.000,19029.000,1.000
-23.870,0.085,-9.884,-6.601,2.469,4.666,-0.613,-2.687,-0.145,0.996,0.162,-1.099,-2.716,0.427,60.000,19030.000,1.000
-20.421,3.880,-6.087,-3.359,6.301,10.148,6.113,3.766,-0.146,0.997,0.163,-0.977,-2.930,0.366,60.000,19031.000,1.000
-19.564,5.113,-4.434,-1.981,7.354,13.219,10.388,8.128,-0.146,0.997,0.166,-0.854,-2.960,0.244,60.000,19032.000,1.000
-22.948,1.680,-7.327,-4.999,3.877,11.367,9.626,7.433,-0.145,0.995,0.167,-0.702,-3.052,0.153,60.000,19033.000,1.000
-30.076,-6.020,-14.659,-12.516,-3.567,4.805,4.006,1.458,-0.145,0.995,0.165,-0.488,-2.991,0.061,60.000,19034.000,1.000
-38.399,-15.106,-23.585,-21.670,-12.433,-3.625,-3.861,-6.818,-0.142,0.995,0.165,-0.366,-2.991,0.092,60.000,19035.000,1.000
-44.879,-22.109,-30.506,-28.734,-19.728,-10.494,-10.799,-13.452,-0.142,0.996,0.166,-0.305,-3.113,-0.031,60.000,19036.000,1.000
-47.664,-25.008,-33.367,-31.729,-23.544,-13.920,-14.818,-16.238,-0.142,0.998,0.160,-0.183,-3.113,0.061,60.000,19037.000,1.000
-46.651,-23.903,-32.348,-31.083,-23.693,-14.128,-15.671,-15.450,-0.143,0.997,0.164,-0.031,-3.052,0.122,60.000,19038.000,1.000
-42.901,-20.137,-28.759,-28.173,-21.195,-12.339,-14.173,-12.449,-0.141,0.997,0.164,0.153,-3.052,0.061,60.000,19039.000,1.000
-37.730,-15.027,-23.709,-23.810,-17.236,-9.393,-11.161,-8.126,-0.138,0.997,0.165,0.366,-2.930,0.214,60.000,19040.000,1.000
-32.255,-9.484,-17.906,-18.331,-12.614,-5.556,-7.174,-2.853,-0.142,1.000,0.166,0.580,-2.747,0.305,60.000,19041.000,1.000
-27.418,-4.369,-12.276,-12.624,-7.918,-1.277,-2.870,2.555,-0.143,1.002,0.166,0.641,-2.655,0.305,60.000,19042.000,1.000
-23.965,-0.568,-8.035,-8.195,-3.789,2.535,0.839,6.669,-0.144,1.001,0.167,0.702,-2.747,0.336,60.000,19043.000,1.000
-22.183,1.511,-5.862,-5.972,-0.788,5.230,3.324,8.481,-0.146,1.001,0.164,0.793,-2.655,0.336,60.000,19044.000,1.000
-21.736,2.229,-5.318,-5.537,0.875,7.010,4.666,8.260,-0.147,1.003,0.165,0.793,-2.563,0.336,60.000,19045.000,1.000
-21.897,2.270,-5.421,-5.902,1.323,8.330,5.239,6.987,-0.147,1.002,0.164,0.916,-2.502,0.397,60.000,19046.000,1.000
-21.973,1.980,-5.637,-6.767,0.787,8.931,4.992,5.164,-0.148,1.002,0.164,1.129,-2.472,0.458,60.000,19047.000,1.000
-21.572,1.338,-6.064,-8.538,-0.479,8.049,3.553,2.647,-0.146,0.999,0.165,1.312,-2.441,0.397,60.000,19048.000,1.000
-20.578,0.457,-6.715,-11.200,-2.064,5.641,1.053,-0.404,-0.147,0.998,0.165,1.312,-2.472,0.427,60.000,19049.000,1.000
-18.892,-0.061,-6.959,-13.628,-3.295,3.002,-1.470,-2.981,-0.148,1.000,0.165,1.343,-2.380,0.275,60.000,19050.000,1.000
-16.288,0.617,-5.869,-14.333,-3.371,1.901,-2.632,-3.904,-0.149,0.998,0.164,1.526,-2.380,0.275,60.000,19051.000,1.000
-12.607,2.932,-3.065,-12.739,-1.747,3.238,-1.605,-2.866,-0.149,0.999,0.164,1.678,-2.350,0.305,60.000,19052.000,1.000
