EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
11.009,5.115,4.776,3.663,2.764,-0.968,-2.132,1.360,-0.090,0.999,-0.048,0.916,3.265,-0.519,80.000,7683.000,1.000
10.329,4.135,3.745,3.469,0.604,-2.688,-3.320,0.991,-0.090,0.999,-0.049,1.038,3.235,-0.458,80.000,7684.000,1.000
8.604,2.069,1.490,2.790,-2.669,-5.550,-5.363,0.296,-0.091,0.998,-0.050,1.068,3.174,-0.397,80.000,7685.000,1.000
6.096,-1.629,-1.300,1.396,-5.737,-8.933,-7.856,-1.159,-0.090,0.999,-0.049,1.129,3.143,-0.427,80.000,7686.000,1.000
3.615,-5.516,-3.595,0.031,-7.583,-11.463,-9.614,-2.540,-0.091,1.001,-0.050,1.190,3.113,-0.397,80.000,7687.000,1.000
1.639,-7.573,-5.029,-0.459,-8.384,-12.288,-9.921,-2.769,-0.091,1.001,-0.050,1.129,3.052,-0.366,80.000,7688.000,1.000
-0.174,-7.684,-6.104,-0.318,-9.049,-11.999,-9.385,-2.116,-0.089,1.000,-0.050,1.007,2.930,-0.366,80.000,7689.000,1.000
-2.403,-7.778,-7.388,-0.695,-10.055,-11.974,-9.249,-2.058,-0.089,1.000,-0.048,1.038,2.838,-0.397,80.000,7690.000,1.000
-5.000,-9.314,-8.768,-2.222,-11.023,-12.869,-9.971,-3.393,-0.090,1.002,-0.046,1.068,2.869,-0.275,80.000,7691.000,1.000
-7.399,-11.560,-9.807,-4.292,-11.510,-14.143,-10.892,-5.202,-0.089,1.003,-0.049,0.916,2.808,-0.244,80.000,7692.000,1.000
-9.236,-12.721,-10.433,-5.816,-11.714,-14.950,-11.235,-5.982,-0.089,1.001,-0.049,0.977,2.777,-0.244,80.000,7693.000,1.000
-10.440,-12.120,-10.756,-6.199,-11.883,-14.911,-10.838,-5.249,-0.088,1.000,-0.050,0.946,2.716,-0.244,80.000,7694.000,1.000
-10.778,-10.679,-10.440,-5.465,-11.447,-13.915,-9.797,-3.634,-0.088,1.000,-0.052,1.007,2.594,-0.275,80.000,7695.000,1.000
-9.808,-9.404,-8.850,-3.793,-9.464,-11.723,-7.891,-1.713,-0.088,1.003,-0.048,1.007,2.502,-0.305,80.000,7696.000,1.000
-7.511,-8.068,-5.974,-1.319,-5.945,-8.229,-4.826,0.634,-0.089,1.004,-0.047,0.916,2.533,-0.275,80.000,7697.000,1.000
-4.788,-5.924,-2.923,1.491,-2.261,-4.090,-1.001,3.521,-0.091,1.005,-0.052,0.885,2.411,-0.397,80.000,7698.000,1.000
-3.000,-3.283,-1.144,3.649,0.064,-0.598,2.374,6.145,-0.092,1.004,-0.049,0.824,2.411,-0.244,80.000,7699.000,1.000
-2.750,-1.453,-1.007,4.313,0.867,1.457,4.281,7.265,-0.090,1.005,-0.051,0.885,2.350,-0.366,80.000,7700.000,1.000
-3.193,-0.857,-1.336,3.792,1.412,2.671,4.968,6.737,-0.087,1.003,-0.051,0.824,2.258,-0.336,80.000,7701.000,1.000
-2.703,0.039,-0.448,3.623,3.017,4.574,5.813,6.073,-0.086,1.002,-0.050,0.793,2.289,-0.305,80.000,7702.000,1.000
-0.378,3.076,2.267,5.163,5.740,8.053,7.869,6.907,-0.085,1.000,-0.049,0.916,2.289,-0.305,80.000,7703.000,1.000
2.883,7.628,5.646,7.882,8.286,12.030,10.464,8.867,-0.085,1.000,-0.050,0.946,2.197,-0.305,80.000,7704.000,1.000
4.853,10.345,7.554,9.374,8.974,13.935,11.488,9.549,-0.086,1.000,-0.049,0.854,2.319,-0.214,80.000,7705.000,1.000
3.590,8.148,6.340,7.339,6.702,11.663,9.198,6.838,-0.084,0.998,-0.050,0.885,2.258,-0.275,80.000,7706.000,1.000
-1.320,1.046,1.618,1.482,1.245,5.044,3.563,0.942,-0.084,0.999,-0.049,1.038,2.380,-0.244,80.000,7707.000,1.000
-8.612,-8.113,-5.700,-6.324,-6.607,-4.185,-3.874,-5.904,-0.084,0.999,-0.052,1.129,2.502,-0.244,80.000,7708.000,1.000
