EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
0.605,-4.731,-7.243,-3.538,-7.163,-4.189,-1.645,-5.445,-0.071,0.999,-0.036,1.495,2.350,-0.854,80.000,8237.000,1.000
-1.301,-5.507,-9.430,-5.561,-9.244,-3.610,-2.221,-5.685,-0.069,1.001,-0.036,1.587,2.350,-0.885,80.000,8238.000,1.000
-2.845,-7.025,-11.176,-7.934,-10.937,-3.580,-3.741,-6.780,-0.071,1.000,-0.038,1.617,2.502,-0.824,80.000,8239.000,1.000
-3.803,-8.146,-11.996,-9.715,-12.020,-3.779,-5.389,-7.675,-0.073,1.003,-0.037,1.526,2.716,-0.732,80.000,8240.000,1.000
-4.358,-8.008,-12.173,-10.298,-12.909,-4.112,-6.668,-7.571,-0.073,1.004,-0.037,1.526,2.777,-0.702,80.000,8241.000,1.000
-4.890,-7.173,-12.160,-9.910,-13.664,-4.514,-7.428,-6.606,-0.072,1.004,-0.041,1.495,2.747,-0.580,80.000,8242.000,1.000
-5.743,-7.152,-12.254,-9.464,-13.934,-4.873,-7.718,-5.571,-0.073,1.006,-0.040,1.465,2.777,-0.641,80.000,8243.000,1.000
-7.055,-8.703,-12.680,-9.712,-13.690,-5.067,-7.562,-4.923,-0.074,1.006,-0.038,1.434,2.899,-0.702,80.000,8244.000,1.000
-8.703,-10.966,-13.637,-10.548,-13.494,-5.011,-6.879,-4.300,-0.075,1.006,-0.037,1.404,2.899,-0.702,80.000,8245.000,1.000
-10.308,-12.538,-15.046,-11.296,-13.857,-4.780,-5.720,-3.218,-0.074,1.006,-0.040,1.312,2.899,-0.549,80.000,8246.000,1.000
-11.296,-12.956,-16.262,-11.533,-14.485,-4.595,-4.463,-1.984,-0.075,1.004,-0.039,1.343,3.052,-0.366,80.000,8247.000,1.000
-11.140,-12.705,-16.314,-11.375,-14.475,-4.593,-3.601,-1.565,-0.076,1.005,-0.037,1.434,3.021,-0.458,80.000,8248.000,1.000
-9.754,-12.090,-14.687,-11.007,-13.341,-4.718,-3.397,-2.561,-0.076,1.008,-0.040,1.312,3.021,-0.397,80.000,8249.000,1.000
-7.608,-10.701,-11.770,-10.248,-11.589,-4.881,-3.823,-4.629,-0.077,1.008,-0.042,1.251,2.930,-0.366,80.000,8250.000,1.000
-5.304,-8.140,-8.360,-8.743,-10.040,-5.090,-4.718,-7.008,-0.076,1.007,-0.040,1.251,2.930,-0.244,80.000,8251.000,1.000
-2.902,-4.761,-4.721,-6.367,-8.686,-5.243,-5.747,-9.225,-0.076,1.006,-0.040,1.251,2.930,-0.092,80.000,8252.000,1.000
0.168,-1.238,-0.403,-3.275,-6.575,-4.887,-6.220,-10.976,-0.076,1.007,-0.040,1.160,2.838,0.031,80.000,8253.000,1.000
4.305,2.341,4.862,0.294,-2.968,-3.524,-5.331,-11.662,-0.077,1.007,-0.039,1.129,2.869,-0.031,80.000,8254.000,1.000
8.962,6.376,10.343,4.087,1.589,-1.266,-2.897,-10.629,-0.076,1.006,-0.041,1.129,2.899,-0.061,80.000,8255.000,1.000
12.865,10.631,14.665,7.673,5.673,0.995,0.208,-8.016,-0.076,1.005,-0.042,1.160,2.899,0.092,80.000,8256.000,1.000
14.980,13.724,16.970,10.388,8.363,2.238,2.627,-5.000,-0.075,1.005,-0.041,1.160,2.869,0.122,80.000,8257.000,1.000
15.242,14.264,17.544,11.714,9.894,2.179,3.675,-2.803,-0.075,1.002,-0.039,1.190,2.899,0.061,80.000,8258.000,1.000
14.401,12.401,17.285,11.743,10.871,1.402,3.791,-1.578,-0.075,1.003,-0.038,1.190,2.808,0.305,80.000,8259.000,1.000
13.209,9.758,16.689,11.061,11.222,0.574,3.767,-0.581,-0.075,1.004,-0.037,1.251,2.869,0.366,80.000,8260.000,1.000
11.861,7.691,15.587,10.149,10.346,-0.233,3.793,0.656,-0.072,1.005,-0.038,1.251,2.869,0.305,80.000,8261.000,1.000
10.249,6.101,13.819,9.068,8.212,-1.266,3.516,1.750,-0.074,1.004,-0.036,1.251,2.869,0.305,80.000,8262.000,1.000
8.456,4.202,11.754,7.751,5.797,-2.312,2.880,2.187,-0.075,1.004,-0.039,1.343,2.777,0.366,80.000,8263.000,1.000
6.679,1.996,9.895,6.393,4.155,-2.640,2.437,2.216,-0.073,1.003,-0.038,1.282,2.777,0.427,80.000,8264.000,1.000
4.778,0.383,8.152,5.359,3.317,-1.877,2.658,2.673,-0.071,1.002,-0.037,1.282,2.869,0.488,80.000,8265.000,1.000
2.333,-0.120,5.952,4.780,2.546,-0.519,3.335,4.030,-0.072,1.003,-0.039,1.282,2.808,0.641,80.000,8266.000,1.000
-0.715,-0.172,3.125,4.370,1.539,0.714,3.995,5.898,-0.070,1.003,-0.042,1.373,2.930,0.580,80.000,8267.000,1.000
-3.702,-0.815,0.306,3.736,0.817,1.712,4.565,7.532,-0.070,1.002,-0.042,1.434,2.991,0.610,80.000,8268.000,1.000
-5.669,-2.082,-1.652,2.900,0.858,2.900,5.364,8.719,-0.070,1.001,-0.043,1.556,3.021,0.732,80.000,8269.000,1.000
-6.174,-2.873,-2.493,2.365,1.293,4.511,6.543,9.936,-0.071,1.001,-0.041,1.526,2.991,0.793,80.000,8270.000,1.000
-5.701,-2.397,-2.682,2.503,1.277,6.122,7.682,11.523,-0.070,1.001,-0.040,1.434,3.082,0.824,80.000,8271.000,1.000
-5.193,-1.315,-2.803,3.017,0.527,7.040,8.032,12.990,-0.070,1.000,-0.040,1.526,3.082,0.824,80.000,8272.000,1.000
